timestamp,equity,total_trades,overall_winrate_pct
2025-10-30 11:26:47,100.0,1,0.0
2025-10-30 11:50:00,100.0,2,0.0
2025-10-30 14:23:33,109.85,3,33.3
2025-10-30 14:32:56,106.02,4,25.0
2025-10-30 14:38:06,121.98,5,40.0
2025-10-30 14:42:18,151.79,6,50.0
2025-10-30 14:44:01,153.56,7,57.1
2025-10-30 15:01:17,151.42,8,50.0
2025-10-30 15:04:55,153.72,9,55.6
2025-10-30 17:02:21,15.9553,10,50.0
2025-10-30 17:05:33,15.6329,11,45.5
2025-10-30 17:06:26,15.5622,12,50.0
2025-10-30 17:14:33,12.1446,13,53.8
2025-10-30 17:22:02,14.9553,14,50.0
2025-10-30 17:25:53,14.078,15,46.7
2025-10-30 17:28:06,16.2291,16,50.0
2025-10-30 18:32:10,12.8155,17,47.1
2025-10-30 20:44:34,19.0969,1,0.0
2025-10-30 20:45:40,16.7183,2,50.0
2025-10-30 20:48:34,19.755,3,66.7
2025-10-30 20:52:37,19.4938,4,75.0
2025-10-30 20:52:44,14.5489,5,80.0
2025-10-30 21:00:34,19.6386,6,66.7
2025-10-30 21:01:51,18.6813,7,71.4
2025-10-30 21:06:06,18.668,8,62.5
2025-10-30 21:13:23,19.1492,9,66.7
2025-10-30 21:14:38,19.4502,10,60.0
2025-10-30 21:18:40,19.5557,11,54.5
2025-10-30 21:20:29,19.6938,12,58.3
2025-10-30 21:25:18,19.4524,13,53.8
2025-10-30 21:26:01,19.4502,14,50.0
2025-10-30 21:39:27,20.498,15,46.7
2025-10-30 21:42:40,20.528,16,50.0
2025-10-30 21:52:26,18.4712,17,52.9
2025-10-30 21:53:15,20.9646,18,55.6
2025-10-30 21:55:52,20.3483,19,57.9
2025-10-30 22:04:32,19.1225,20,55.0
2025-10-30 22:10:47,14.4114,21,52.4
2025-10-30 22:14:55,13.945,22,54.5
2025-10-30 22:22:31,14.4456,23,56.5
2025-10-30 22:26:47,14.5119,24,58.3
2025-10-30 23:10:06,18.1614,25,60.0
2025-10-30 23:34:11,24.6003,26,57.7
2025-10-30 23:34:16,10.4024,27,55.6
2025-10-30 23:35:08,18.6651,28,53.6
2025-10-30 23:35:11,10.0896,29,51.7
2025-10-31 18:10:51,109.2053,1,100.0
2025-10-31 18:12:34,113.2916,2,100.0
2025-10-31 18:16:19,117.3452,3,100.0
2025-10-31 18:30:46,115.0065,4,75.0
2025-10-31 19:49:24,130.1028,5,60.0
2025-10-31 19:58:41,117.834,1,100.0
2025-10-31 20:03:53,87.1341,2,50.0
2025-10-31 20:28:31,93.125,3,33.3
2025-10-31 20:34:14,92.7193,4,25.0
2025-10-31 20:37:10,93.0277,5,20.0
2025-10-31 20:48:25,85.5474,6,16.7
2025-10-31 20:58:21,80.1132,7,28.6
2025-10-31 21:08:07,82.6545,8,25.0
2025-10-31 21:09:11,80.9131,9,33.3
2025-10-31 21:13:26,84.8465,10,30.0
2025-10-31 21:19:04,83.151,11,36.4
2025-10-31 21:22:20,83.7778,12,41.7
2025-10-31 21:27:29,78.4189,13,46.2
2025-10-31 21:40:10,82.73,14,42.9
2025-10-31 21:46:36,81.4251,15,40.0
2025-10-31 21:52:49,84.191,16,37.5
2025-10-31 21:57:05,65.6217,17,41.2
2025-10-31 21:57:12,52.2627,18,38.9
2025-10-31 21:58:14,81.0831,19,42.1
2025-10-31 22:11:55,78.0823,20,45.0
2025-10-31 22:16:41,83.0266,21,42.9
2025-10-31 22:27:27,86.3874,1,0.0
2025-10-31 22:31:00,73.5119,2,0.0
2025-10-31 22:31:04,57.4533,3,0.0
2025-10-31 22:33:15,63.4325,4,25.0
2025-10-31 22:35:11,79.1493,5,20.0
2025-10-31 22:42:37,82.3055,6,33.3
2025-10-31 22:45:21,76.5561,7,42.9
2025-10-31 22:46:05,84.0355,8,37.5
2025-10-31 22:47:16,74.234,9,44.4
2025-10-31 22:47:19,57.5672,10,50.0
2025-10-31 23:09:24,74.9706,11,45.5
2025-10-31 23:11:00,74.8676,12,41.7
2025-10-31 23:40:02,69.3618,13,38.5
2025-10-31 23:48:33,72.3166,14,35.7
2025-11-01 00:01:45,65.1421,15,40.0
2025-11-01 00:04:19,70.6969,16,43.8
2025-11-01 00:07:46,72.2349,17,47.1
2025-11-01 00:08:30,73.9691,18,50.0
2025-11-01 00:10:32,77.6442,19,47.4
2025-11-01 00:23:32,68.3672,20,45.0
2025-11-01 00:23:36,51.3536,21,42.9
2025-11-01 14:54:14,55.9765,1,100.0
2025-11-01 15:00:23,62.6964,2,100.0
2025-11-01 15:01:13,63.7506,3,66.7
2025-11-01 15:01:18,41.8367,4,50.0
2025-11-01 15:02:31,57.2535,5,60.0
2025-11-01 15:03:46,65.2821,6,50.0
2025-11-01 15:04:39,61.6305,7,57.1
2025-11-01 15:05:02,61.4815,8,50.0
2025-11-01 15:06:50,58.819,9,44.4
2025-11-01 15:11:44,61.05,10,50.0
2025-11-01 15:17:49,69.7654,11,54.5
2025-11-01 15:20:35,72.5987,12,50.0
2025-11-01 15:21:05,84.2246,13,46.2
2025-11-01 15:25:41,69.3524,14,50.0
2025-11-01 15:33:03,71.8966,15,46.7
